"C3N.01799"	"C3L.01890"	"C3N.00572"	"C3N.02423"	"C3N.02729"	"C3L.00263"	"C3N.01410"	"C3N.00578"	"C3N.02587"	"C3L.00893"	"C3N.01488"	"C3N.01413"	"C3N.01030"	"C3N.02588"	"C3N.00552"	"C3L.01889"	"C3N.00169"	"C3L.00422"	"C3L.00083"	"C3N.00551"	"C3N.01842"	"C3N.02089"	"C3L.01682"	"C3N.01016"	"C3N.00580"	"C3N.02000"	"C3N.01489"	"C3N.00737"	"C3N.01405"	"C3N.01416"	"C3N.02149"	"C3N.02424"	"C3L.00279"	"C3N.02379"	"C3L.00095"	"C3N.00559"	"C3N.02572"	"C3N.00545"	"C3L.02345"	"C3L.00510"	"C3L.00093"	"C3L.00913"	"C3L.00412"	"C3N.01415"	"C3N.00549"	"C3N.02433"	"C3N.01021"	"C3L.01330"	"C3N.00203"	"C3N.00574"	"C3N.01071"	"C3N.00550"	"C3N.00167"	"C3L.00001"	"C3N.01074"	"C3L.01632"	"C3N.02155"	"C3N.00217"	"C3N.02002"	"C3N.02145"	"C3L.02219"	"C3N.02586"	"C3N.00180"	"C3L.01862"	"C3N.00704"	"C3N.02158"	"C3N.02421"	"C3N.00556"	"C3N.00294"	"C3N.01072"	"C3L.00094"	"C3L.00144"	"C3N.00223"	"C3N.02380"	"C3L.01924"	"C3N.00433"	"C3L.01683"	"C3N.00293"	"C3L.00009"	"C3N.00546"	"C3N.01414"	"C3N.02087"	"C3L.00140"	"C3N.02529"	"C3L.00368"	"C3N.02067"	"C3N.02422"	"C3L.00080"	"C3N.00547"	"C3N.01023"	"C3N.01024"	"C3L.00973"	"C3L.02348"	"C3L.02508"	"C3N.00560"	"C3L.00604"	"C3N.00199"	"C3N.00579"	"C3N.02582"	"C3L.02350"	"C3N.00738"	"C3N.00959"	"C3N.02003"	"C3N.00175"	"C3N.01823"	"C3L.02549"	"C3L.02365"
"hsa-let-7i"	10127.871658	22422.549775	6869.699074	8498.563642	6668.323084	9839.95726	6240.496023	6698.604345	6927.025809	9449.597919	9327.753106	8628.246479	7209.588068	6187.431725	5970.694995	17448.581667	7410.098715	7237.244851	7413.893867	6456.958491	10475.125099	5700.633808	6740.679685	12152.660788	7081.83608	8011.722883	9521.17142	9381.675092	6855.133037	6300.352088	7077.521478	11815.967132	9265.426857	7847.238258	8615.051324	8041.204636	5117.991142	8086.025287	8449.7018	12749.645682	7845.910216	10145.979167	6973.533518	8391.23559	12925.274081	6476.994048	9292.766336	7231.725276	9367.443818	21959.506685	6679.253467	7980.831754	15023.273671	8142.966656	7924.080194	16198.545052	9414.170367	18405.073351	5324.149042	6185.412833	20260.289915	6438.900772	8082.359807	20258.277636	6183.142459	7957.747799	9786.603575	8824.873536	7592.413248	21392.297581	11352.280528	7912.770475	6869.868254	8499.613918	7890.885567	11925.531205	10025.722703	9401.479874	8078.751094	10552.634824	6729.940885	9439.871898	5090.978997	8238.458571	7374.234425	4843.827157	10094.109053	14713.548907	8498.934615	9683.031319	7296.553028	11154.065689	7870.848705	6934.457058	5328.600155	8360.65927	7023.797513	6323.359237	8552.795631	6776.738932	10270.473964	5835.679841	8335.404836	6355.256318	8171.063166	6015.712578	6547.368397
"hsa-mir-100"	5325.047613	16899.652874	2462.658983	5433.69757	8526.783873	8644.850942	4825.02704	16162.617091	36946.480823	7338.788312	8590.689867	3833.878612	3512.417143	4841.194789	56141.994289	9313.166102	3467.235658	30665.691526	10198.512935	3199.195206	7279.063786	6777.000015	7844.932092	5828.012556	14442.452962	4372.321931	4589.415471	6276.552659	1613.471749	5431.725498	5635.241606	32379.334494	6883.494792	6630.206322	16615.643925	2666.183525	3331.308707	8504.150625	8686.586889	1858.383518	6275.962385	7141.523251	8888.363714	11339.856993	7341.533003	4917.890002	7087.24794	4692.266286	39090.673278	5261.327318	5891.67032	13784.518666	4058.092172	9935.104954	7294.073022	6142.420505	1063.249039	5130.020075	5783.46298	4046.761216	3140.15646	4218.683283	2192.867729	6593.745148	3806.955005	3115.997032	5506.758884	12505.155972	20639.393667	40022.515369	9067.73749	7677.354518	9629.643846	7362.426001	4631.047546	8999.995036	8278.552502	7240.001277	8166.764438	23429.791152	4019.085947	8622.008718	22867.593332	6796.629938	6103.119114	3952.802792	2920.711779	2165.533386	4457.324437	8713.070269	2633.563548	6191.356246	6539.22879	7962.302365	4770.114222	1933.61646	4306.883994	2883.084015	2756.647359	8332.781428	10545.30757	5728.965612	64488.999195	4908.274489	10669.437457	4266.707246	3394.062562
"hsa-mir-101-1"	1482.519237	346.60466	1649.459668	1244.994822	2742.908996	2158.58755	2779.152515	1109.723972	1772.805766	2583.354897	1607.739291	1874.527655	426.696194	807.579117	1172.031989	513.975867	1149.983375	1423.882378	1143.106144	1038.549854	1271.936794	2329.879507	2801.480737	1701.375667	1400.534476	2234.963501	1445.292737	1666.067736	1042.141319	1502.304218	1094.802171	1303.810174	1548.702291	871.564442	892.908102	1963.610195	2322.534147	1896.18829	1041.17399	3550.8953	1296.59495	1622.083787	1306.150188	1536.175674	1070.925637	2715.707334	2356.966796	2150.612904	975.002558	276.644426	703.569592	1105.020961	1622.455401	721.852311	1682.797133	400.37893	1204.3736	519.286755	2673.734905	1897.922147	1825.720499	1571.397025	825.154831	573.257518	1311.712445	2669.571199	1410.390501	812.073468	695.217203	489.704379	1105.023535	1067.161304	2460.393263	3084.540328	1626.47101	1446.864435	1593.836996	1844.834474	877.76145	1967.519258	1843.360126	884.903478	808.855828	1168.671727	1971.697887	2597.444186	1914.023712	1632.112199	1239.479176	1680.497388	1321.620831	1523.360701	3906.422171	1706.089465	1439.149365	1115.864507	2457.71534	1548.551889	1569.442298	3603.25739	1600.711734	2434.876572	1349.457286	1323.244695	1603.111565	1673.750652	1076.560331
"hsa-mir-101-2"	1600.133925	370.342826	1762.816036	1383.64639	3009.932611	2365.710904	2905.772431	1200.484662	1954.52439	2764.646489	1703.733908	2060.162778	461.083323	845.996446	1270.552361	536.211627	1263.825674	1502.527566	1236.417894	1102.630224	1344.618896	2501.292182	2995.9635	1837.725595	1457.998482	2377.678812	1512.913536	1793.55156	1168.789282	1611.964288	1180.434531	1402.067821	1626.646881	959.146039	978.519446	2116.250801	2488.941782	2055.307699	1114.13353	3712.658998	1404.304642	1716.71232	1393.438273	1640.21106	1160.366272	2955.737895	2582.329487	2318.922694	1030.577004	291.307558	725.715425	1191.516212	1689.78889	800.099785	1767.714081	428.977425	1272.445446	540.185435	2889.232836	2011.410353	1944.689755	1683.12161	884.746138	619.836984	1400.677802	2826.87411	1512.882033	877.234453	758.537763	540.084479	1205.627904	1174.235999	2689.608922	3372.627934	1707.581113	1542.010549	1729.072741	1978.337888	952.541582	2094.059881	1977.828015	956.21386	925.052408	1307.565069	2137.191909	2761.732658	2067.347917	1713.996267	1349.661529	1798.288523	1412.63232	1708.478303	4096.271979	1847.694821	1539.172672	1184.973846	2590.31944	1665.020916	1683.823516	3912.229842	1772.436542	2519.392613	1443.238481	1496.978743	1728.010744	1766.154075	1171.566085
"hsa-mir-103a-1"	6252.418345	4063.068327	7932.34736	5475.256017	5689.301967	5002.234452	7006.002722	7284.010794	7827.015621	8892.744996	4255.728881	6638.264886	8061.994446	8411.254952	7224.026315	4224.156036	6087.370111	10716.238362	6167.058392	7717.550269	7104.065771	11336.174196	8400.988444	7157.424356	10619.187734	6793.104298	5793.554516	6767.041272	5555.701638	6511.793237	6562.765153	6083.683056	9061.426325	5291.094628	7386.376746	7760.703402	7822.019575	8599.622271	5193.465493	18516.866404	6939.950182	4395.20225	9573.149584	4637.993693	10751.772161	4921.799294	5420.0311	12612.810899	6186.821689	9575.220793	11517.590646	6977.871979	11930.658319	7712.799234	6036.085874	5172.574043	16006.181588	10050.144716	9661.37367	7353.70973	4028.830652	4953.997711	9387.132273	7634.753416	6066.89573	9139.204092	7766.100329	5040.158427	6241.411024	4514.964054	5844.104305	6643.576779	6213.663567	7790.439198	7861.87858	10118.490466	6290.713095	5249.116489	8432.801937	5277.609962	7243.926696	7309.24295	7011.945115	7866.918882	13000.899413	6841.435307	6388.554712	9577.564357	8157.109046	3829.475068	5994.288424	6009.298439	8474.075007	5709.922323	9528.231039	10841.81017	11017.521004	8988.513004	9426.852111	6549.912789	7747.080155	10322.259662	4628.643001	4093.575815	4849.839018	6279.436942	8544.6508
"hsa-mir-103a-2"	6503.616764	4218.807159	8239.50306	5713.684882	5915.569863	5230.587569	7371.693813	7472.630125	8086.47876	9241.243375	4493.327741	6992.620962	8269.056724	8645.223615	7384.222042	4309.05621	6356.892303	10974.643982	6325.554427	7994.715092	7358.57508	11923.564826	8766.730371	7602.455372	11084.626098	7048.675473	6029.819958	7175.556705	6022.351951	6727.238464	6867.907754	6382.866124	9396.209897	5451.802608	7672.719368	8077.562146	8080.620865	9003.215316	5405.941814	19150.201895	7267.490859	4655.012004	9948.838835	4722.033838	11491.232062	5059.484577	5613.632831	12987.722602	6514.80891	9850.49666	11923.070298	7298.658634	12274.050028	8020.753399	6288.359035	5417.984879	16740.029301	10398.456042	9958.318948	7541.056956	4209.790298	5069.965978	10067.466368	7772.291208	6312.528378	9525.16203	8019.756581	5243.145527	6553.268871	4654.33674	6114.819406	6853.769598	6419.535708	8046.423474	8061.096377	10526.561578	6573.069485	5529.770821	8690.475046	5423.797341	7728.630354	7558.615782	7230.777576	8154.312355	13431.104812	7091.657978	6651.0003	10105.938492	8527.564675	3992.740529	6189.897985	6168.268701	8726.508471	5911.713403	10085.503751	11212.67601	11413.798831	9359.797661	9680.210509	6798.81516	8035.218122	10739.443056	4787.499929	4253.816972	5135.97405	6655.876833	8828.947543
"hsa-mir-103b-1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-103b-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hsa-mir-105-1"	0	0	0	0	0	0	0	0.11636	0	0	0	0	0	0	0	0	0	0	0.148823	0.172259	83.535638	217.907975	3.691957	23.356238	1.506923	0.722406	0	0.135046	0	0	62.540488	0	0.31514	0.242945	0.121435	0	2.677824	0	6.935825	0.15502	0	18.632609	0.333798	73.967355	186.124703	0	0	0	0	13.294573	101.941135	17.652092	0	0.774727	85.367436	1.340554	0	0	0.087672	0.814996	0	0	146.668528	0	0	0	0	0	0	0.122579	0.116037	0.8655	0.068057	0	2.298667	0	0	0	7.240814	0	0	0	0	0.115744	0	0	0	0.087018	0	0	0	0.278163	0.190804	0	0.134802	0	0	0.317066	2.599573	0	0.123189	0	0	0	0	0.166493	0.102931
"hsa-mir-105-2"	0	0	0	0	0	0	0	0	0.104918	0	0	0	0.123251	0	0	0	0	0	0	0.344518	87.925832	211.398633	2.858289	25.249987	1.004616	0.802673	0	0	0	0	63.227746	0	0.420186	0.48589	0.121435	0	1.912731	0	9.203306	0.07751	0	19.05132	0.166899	73.365994	183.762714	0	0.116768	0.219439	0	12.903556	105.280586	18.133513	0	0.193682	80.637314	1.072444	0	0	0	1.12062	0.108946	0	140.894177	0	0	0	0	0	0.163619	0	0.116037	2.349214	0	0	1.094603	0	0	0	7.615339	0	0.176931	0	0.132948	0.115744	0	0	0	0.174036	0	0	0	0	0	0	0.134802	0	0	0.105689	2.899524	0	0	0	0	0	0	0	0.102931
